@relation reviewsExample

@attribute revContent string
@attribute revBug {Y,N}

@data
"Great game, but one problem. Please read. This is an awesome game, but lately there has been one problem. Every time I open the app, it crashes before it even starts. Please fix this as soon as possible because this is a great game, and I wouldn't want to have to stop playing it.",Y
"Amazing THIS IS THE BEST GAME EVER FAVORITE ALL TIME GAME!!!!!!",N
"Great Game!!! Game is very entertaining, I have no complaints!",N
"Yeaaahhheaaa! Sweeet!",N
"Good game Good game but y'all should change the two attacks from the clan war  for more",N
"Good to a certain point Fun to start with but gets very hard to upgrade anything. Need to lower prices",N
"BEST GAME EVER THIS IS AN AWESOME GAME AND IT HAS NO BUGS! YOU SHOULD DEFINATELY TRY IT OUT!",N
"Coc This by far is the best game I've ever played",N
"AWESOME One of the best games I have ever played! Let's you interact with people all around the world. A must download app. Join TH´┐¢ND3RC´┐¢´┐¢NNTS´┐¢",N
"Problems attacking My town hall is in level 7 and I have 3gold league and I just find a town hall level 5 to attack",Y
"Very interactive and exciting Great game everyone should play at least once! It keeps the gamer attracted to it to constantly be the best clan. Well done!",N
"Clash of #clans The best game I've ever played in the app store!!!!! :) $$$$$$$",N
"Addicting! It's an extremely fun and addicting game. Just be prepared to check on your village every 5 minutes....",N
"Clash of clans I live it",N
"Best app This is by far my favorite application. This game has everything make your own base destroy other opponents and best of all clan wars was added. My opinion this game deserves 5 stars. :)",N
"FIrST FIRST",N
"BOUSSSSS Bousss",N
"Really good So good",N
"Good game Overall good game but it ripped me off for some of my gold and elixir war winnings? Not cool bro",Y
"Best ever This I a great game join us in the fight and download right away",N
"Buttons Great game! But there's problems, the buttons don't always work on my 5s\nPLEASE FIXXX!!!",Y
"nice very good",N
"So cool The giants are cool all of them are",N
"It best game ever Fun for all ages",N
"Fun Very fun",N
"Best game ever Awesome",N
"Great Game for Groups Fun game. Easy to get into with a group of friends!",N
"MEXICAN FLAG great game, but will give one start until you guys put in a Mexican flag in the decorations. this is ridiculous",N
"Great game! Awesome!",N
"Hate it Crashes every 5 frecken minutes",Y
"RAD That's right,I said that",N
"Great Great",N
"Review Great game",N
"Great Great game and very addicting",N
"CRASH of Clans I had this game at 4 stars it's really fun and addicting but now it crashes so much I can barely play. Fix and I'll rate it 5 stars.",Y
"Great game So much fun",N
"Clash of clans Best game on the world",N
"Totally awesomeee! Love this game",N
"Glitch I love this game so much, its my favorite game ever but since the update on clan wars is TOYALY glitching my game by that I mean I can't click the scout or attack button in the clan wars menu. Same goes for collecting loot, I can't click the elixr, gold, or dark elixr button on top of the collector. Please fix this, Thanks! ??",Y
"Clan wars.... Very disappointing Great game i love it but clan wars has many issues. I cant attack or scout enemy clans and it has even come to where i cant train troops and my clan chat messages wont show up. Basically everything is useless. I hope supercell fixes this or I might just quit. I cant really do ANYTHING at all",Y
"Good game Game is good but I can't attack or get resources",Y
"Update No Good Clan wars page is worthless. Try to attack, scout, or look at anything and nothing happens. Perhaps run some betas before opening a junk feature?",Y
"Fun looking, expensive to play. Ahhhhh... Remember the days you went to a store, plunked down $40 and raced home to veg out in front of your computer with the latest software game?  Pay as you go is the greatest rip off of all time.  It is worse than gambling, because at least with games of chance you have a chance of winning something real.  There isn't even a veiled attempt at trying to disguise that the real clash here is between the creators of this game and your wallet.  The absurd, costly and time eating requirements of this game are such that anyone wishing to advance faster than the speed of watching paint dry will feel compelled to open the floodgates  of their finances to buy imaginary stuff to beat anonymous players.  Set the dang price and settle for a reasonable fee .  I wish gaming would return to something less whorish.",N
"New Update Please make a new update, ever since clan wars both my devices will allow clash to run but on both devices I cannot attack, scout, collect gold/elixir/dark elixir, and I cannot donate. Please get an update that will fix these major errors.\n\nP.S I have an iPad mini and iPhone 4 both with ios7 if that is helpful",Y
"Clan Wars So I really like this game. I have been playing it for about 5 months and it is great! Highly addictive. When I heard about clan wars I was super pumped, but now that it has come out, I'm very disappointed. I am the leader in my clan and I created a clan war just a few hours after the update arrived. A day later, it is still searching for a match. My clan members are getting very anxious. I like this game, but I am losing respect for it because it is not working.  Please fix and I will change my rating to 5 stars.",Y
"Awesome Best defense game I've ever played.",N
"New update Ok I love the game and I saw nothing wrong with it. Until the new update it's not bad but once you go into clans clash mode you cannot gather any resources and you can't attack it's annoying a hope to see it get fixed",Y
"clan wars what the heck is going on ?!?! fix this with a hurry PLEASE sisto",Y
"Decent game Ran out of gems fast, couldn't figure out where troops were going to attack without releasing them first. Game play slows down to a crawl once you get past level 3.",N
"CLAN WARS!!!!! Love it. Hands down best game ever. ?? But there are bugs that make it go slow.",Y
"Clash of clans One word to describe COC BOSS",N
"Clan Wars Update There are so many bugs with the new update. People in my clan including myself can't click on clan wars, can't type, can't search for anything including clans. When we click on each of those things the app freezes for a second then backs us out of the app and into the apple apps section or the main menu.",Y
"Clash Of Clans I love the new update of Clash of clans and not only that I read the new update and it has some good ideas",N
"Amazingly cool new update This game is awesome enough said",N
"Won't work Won't open actual game it just switches from loading screen to home screen",Y
"Latest Update Where is le clan warz?!",N
"Fun AF Fun game. Best game on my phone and on my iPad.",N
"Clash of clans Good fun",N
"Awesome Great game",N
"Clash I like this game a lot.  I play this almost everyday because it's SO addicting",N
"Great game! This game is tons of fun, but be careful because it is highly addictive!",N
"Clash BEST GAME I HAVE EVER HAD you need to download this it's great so fun and addicting",N
"Great game Great",N
"Best game ever.. As I said its the best game ever! I really enjoy raiding my friends or making alliances with them in clans. I can't wait for new features to come out. Cool game!",N
"Clash of clans Great game very fun to play",N
"Clash of Clans Really fun game. You can just keep on battling and battling and the fun never ends.",N
"Awesome This game is dope",N
"Great Great",N
"Bugs This game has a lot of bugs now so pls update",Y
"Clash of clans Great game very addictive.",N
"Fix This Best game in the world but it keeps on crashing so i cant open it please fix this",Y
"Beware very addicting It's fun, patience is the way to go, fun fun fun. Very addicting....",N
"Great game Once you start it's hard to stop playing",N
"Why it's 4 I spent 92 gems, I believe for the gold, I lost the gems and got no gold? Excuse me but I spent work on getting that gold!",Y
"Crash App crashes on loading screen",Y
"Good Good game",N
"I keep crashing on my I can't play it because it keeps crashing",Y
"Kool Upgraded version of backyard monsters",N
"Greatest phone Game I ever played I am totally hooked to this game I love playing it it entertains me and its very fun!",N
"Social suicide Endless fun, for the low low cost of: your social life, the constant fear of being raided and loosing your resources, waiting days to upgrade while slowly driving yourself into an endless rage of frustration and hatred.\n\n10/10 wouldn't use again\n(Nick name was for other games i deem bad)",N
"Exellent Best game ever!! Adicting and fun. You share with other people its a great experience.",N
"Good Good",N
"Coc Fun",N
"Awesome! This is a truly awesome game! I do have a warning though; once you get going in the game and start to figure it out, you're hooked!! You've been warned! :-)",N
"Great Game I love this game",N
"Really fun game I really like this game but all I want them to add is a way to get gems easier and to donate gold and elixir \n\nOver all the games fun u have a clan that does so much for u and is very aswome  and donates a lot and the clan I'm in dying prophecy is the best in the world",N
"Archer queen When i tap her for the royal clock she should not take damage but she does? Can u if it for us?",N
"Nothing to complain about No complaints here! Highly Additive!",N
"Amazing 4 words better than flappy bird",N
"Addicting Best game ever!!",N
"GamerGirl Way fun!",N
"Pay to win is the name of this game To be honest I like the game, it's fun it's got real time action (unlike the hobbit) but I have spent months now stuck in a rut because every time I get close to having resources someone RIDICULOUSLY stronger than me takes it. And the league placement doesn't help you because players will demote themselves for easier prey. I'd say it's fun for a week or so till your shield runs out, then I'd move on",N
"Dumb This game is dumb. I played for 30 seconds and got bored and deleted it. DONT BUY!!!!",N
"Perfect Best game ever",N
"MY TROOPS WONT TRAIN I usually train all my troops and get if the game.....but when I get back on an hour later there are no troops in my army camps please fix this",Y
"Best game! Best game ever, I can't stop playing it!",N
"Keeps crashing The game keeps crashing when it loads. Awesome game but please fix this problem.",Y
"Clash of clans I love this game",N
"Great game Great game. Many possibilities. Never ending and doesn't get boring.",N
"Great Game Didnt like it at first, but then it grew on me and now im addicted.",N
"Love/hate relationship I love the game play, it's prolly the best game 'app' for the App Store in my opinion .... But the frequent crashes are really bout to get on my last nerve! Please update and fix this.",Y
"Best game ever Only game that I enjoy",N
"Good Good",N
"Amazing Game This is the best app I have bought by far (as far as games go) I recommend this to everyone!",N
"Doesnt even open.... This game crashes EVERY SINGLE TIME before it loads.",Y
"Awsome game!! One of the best games I've played!",N
"+++ +++",N
"Awesome Very fun! And very addicting. All around great game.",N
"Help Me How do you restart?",N
"Nice! I'm pretty picky with my games. Not to many strike me well but when I find one I write a review. This is a fun game and super addictive. Thanks! \n-quick loading\n-a solid guild environment\n-easy to use\n-doesn't have a 'goes on forever' tutorial but gets the job done \n-I could keep going but I need to check on my army status!",N
"Awesomely fun The game is exactly described on the commercials. Super fun and very addictive.",N
"Thumbs-up! Really cool and fun!",N
"Good I like it",N
"Client crashes I have problems with this update crashing during the loading of the game . I'm on an iPhone 4S ..",Y
"I'm addicted This game has got me playing only because I love to upgrade",N
"Wouldn't let me play What the hell? This game on my iPad was fine... Now u said u fixed the bugs on the so called update... It won't let me play it takes me out... Plz fix this or u will lose EVERYONE who plays this game...",Y
"Okay The game is great but the update made it crash every time I try to play it plz fix",Y
"Great game Love laying it",N
"Clash of the clans Cool but pure better than movies!",N
"Very nice! I like this game a lot!",N
"Best game This is nice . I love it .",N
"Superfun Yup. This game rocks mah socks.",N
"Addictive Good game.time killer",N
"Omg Omg this game is a must play!!!!!",N
"Loads of fun I didn't  think I would like this game But I'm hooked on it.",N
"I'm addicted. Addicting. Period.",N
"NOOOO! Supercell you messed it up :(",N
"No reason not to like it. New to this game but already love it. I could complain about in app purchases but I'd use them if I ever need to. Great game.",N
"My review So addicting. Great way to pass time. Unlike anything I've played before. Can't wait for Clash of Clans 2.",N
"Great game Awesome game except it keeps kicking me out when loading. Please fix",Y
"Love Not a lackin feature with this game build to build more and destroy others",N
"Great fun Lots to do and it has replay appeal! I can't get enough!",N
"Crash fix? All of the sudden when i try to open the game it crashes at the loading screen? Fix this please.",Y
"Great Game Really fun game!",N
"Too much fun Way too much fun!",N
"Lots of fun Great!",N
"Bad It will not let me in the game",Y
"good game good game",N
"Review Love it, pretty fun so far.",N
"Pretty good Not bad but only way to get high fast is to spend money",N
"Cats meow Bees knees",N
"Great but... I wish you could send resources to friends in Game Center and clan members. Thanks for the great app!",N
"Colorboy33 Great review I love this game!! Just protect your elixir and gold and upgrade walls and defenses when you first start!",N
"Great game Enjoy this very much.",N
"Clash of clans It's awesome",N
"Great game The most addictive game ever.",N
"One of the greatest games for iOS Enough said!",N
"Great Game! A lot of fun, reminds me of Warcraft in a lot of ways,  very addicting and well designed.",N
"Amazing Best village attack game around",N
"Tooo addicting They give you a few gems like crack and force you to buy more. But I can't help my self.",N
"Good game I like the game",N
"READ!!! I spent 10 dollars on 1200 gems and I did not receive it I want my money back or gems",Y
"Awesome app Nothing like it!",N
"^^ Very good",N
"Novelty strategy Love this game! A great new way of playing strategy games. You can find yourself waking up in the middle of the night to make he beat use of your resources! I highly recommend clash of clans to anyone who is a strategist or action gamer.",N
"Great Defender! It's great to see some strategy games that are fun to play! ????",N
"Clash of clans Great game over all nice texture all ways updated and its addictive so jea",N
"Awesome Awesome game. Very addicting and fun with friends.",N
"Great game Great",N
"Awesome Play every day.",N
"Clash of clans Best game I ever play by far",N
"Game One of the best games I ever played.",N
"Please fix I can't open the game. It will load to about 90\% then crash. I've already tried uninstalling it,and reinstalling it,but it doesn't work. Otherwise great game!",Y
"Addictive as all heck Addictive",N
"Clash of Clans Great",N
"Clash not working! I have had this game since it first came out and now it won't let me on. I can get on my lower account but not my good one. PLEASE FIX IT",Y
"Bad download great game I have downloaded this game recently spent five dollars on Jim's and five dollars just went down the drain it said that I have not purchased it and five dollars on my iTunes credit this went down the chain otherwise it is a great game",N
"Good game Cool best game",N
"Won't load >:| During the loading page, it will load halfway then it will crash and exit the game. Haven't been able to check my game in 5 days. It's not my iPad because everything else is working perfectly. I have tried restarting my iPad, tried re downloading the game. Just won't work.",Y
"HOLY MOTHER OF GOD THIS GAME IS GOSH DANG FUN I MIGHT BE IN LOVE!!!!!!!!!!!!!!",N
"Great!!! Great game would definitely recommend downloading.",N
"Best Best",N
"I hate/love this game! Ok let's talk about this game .\n\nI love this game because it is strategy and fun!!\n\nI hate this game because it keeps crashing and I can't even go on it. I have not played this game in 3 months because every time it keeps crashing, please fix it or I will delete this game.:(",Y
"Stop the force closing I've been playing this game for a long long time. Recently (with the past update) my game has been constantly force closing. I've been losing so many trophies, troops and, as a result, elixir over it. I tried uninstalling and reinstalling the game and the force closing persisted. As of now I cannot play. Please look into this issue and I will be more than happy to change my review to 5 stars.",Y
"Crashing Great game but crashes a lot! Its annoying and has to be stopped.",Y
"major bugs There is a major bug causing iPad mini users to crash the game. Can you please fix it?",Y
"Pretty good A friend of mine recommended this app, I said 'it's just like the others' but, despite it's poorly made commercials, this is pretty fun",N
"Yes Good game",N
"???????? ??",N
"Nice Great game!",N
"Clash of clans is a great game Clash of clans is a great game. Not only is it a great game its educational. It teaches you how to build and design fortresses. It is a very good game and is an amazing typing resource. I give it 5 stars!! By Logan smith-nov 7,2013",N
"Money hogs It was a good game till TH lvl 8 after that everything goes south , they want you to spend crazy amount of money, even though I spend $20 for them, the loot percentage cant make for the upgrades, it takes 30 minutes to train troops for 3 minute battle, very time consuming , I just wished I wouldn't have spend my money for this game. Any questions pleas let me know and I'll answer to you honestly. Thank you and moving to something better",N
"The waiting game You have to upgrade each bomb? What a waste of coins! It should have been like the laboratory when one upgrade affects all bombs. All of this waiting is making this a boring game -_-",N
"Freaking AMAZING!!!! This is hands down the most addictive app ever I love this game sooo much!!!",N
"Hot Hot!!!!",N
"Crashing Great game, but I am unable to play because it continually crashes before loading completely.",Y
"Love it I love this game it was my favorite game till I tried out the new edit mode, it took me 20 minutes to re-design my base. I hit save changes and it went back to my old base, 20 minutes goes to waste",N
"I get less sleep because of this game! ...",N
"Clash of clans $,20 store Clash of clans help $500,99 store\n\n????ilove clash of clans??????",N
"Fantastic app but It's crashing a lot and it fails to keep me signed into Game Center then it tells me I put the wrong password in and it won't start up some times like when I have music playing or even with out music",Y
"Awesome Can't stop playing :)",N
"Awesome Best game I've ever played!!!",N
"Great game, still buggy I love this game! But on my iPad it has been quitting unexpectedly every time I play. I can either get into the game for a few seconds or not at all. Please fix!",Y
"Cool game It's a really good game, I love it, it's awesome",N
"Great game Really like the game but playing with friends is complicated.",N
"Best game ever You should play this game because it is the best game I have ever played",N
"Crashes Probably the best game on the app store but crashes way too much",Y
"Great game Though gameplay can be slow at times, this game is very easy to get into quickly. Just don't get sucked into paying for gems, coins, etc.",Y
"How to fix crashing Hold down the lock and home button at the same time until the ipod turns off. Wait 1 minute the go back and the app wont crash. If the screen flashes white when u hold the buttons down do it try it again until the screen turns black.( The way it works is the device gets full on memory and needs to reset, by hilding the buttons down it automaticly turns of the device and turns it on again) Please read this it helped me when i couldnt open the app . If the steps aren't easy i understand look it up on the internet and type somethin like 'how to reset an apple product' or 'ho to make clash of clans stop crashing'",Y
"Cool game Awsome update i? pumpkin boom",N
"Wow..... So i updated this game and tried the new thing to make the base and i spent 30mins doing it and i put SAVE and it saved after that when i come back it restarted all over back to my old base fix please.",Y
"Awesome Number one game ever!",N
"NO MORE 50\% REFUND I WAS A CLOSE I WOULD HAVE A LEV 9 TOWN HALL TOMORROW BUT NO I ACADENTLY HIT UPGRADE CLAN CASTLE NOW ITS GONNA TAKE LIKE 5 DAYS TO GAT BACK TO WHERE I WAS",N
"Fix it Everytime I go to open the app it crashes. Been like this since the new update. Please fix!!!",Y
"GREATEST APP EVER!!!!! Best game I have ever played",N
"ClashO'Okay I would waste more time on this if it was cheaper. I understand this is a EPIC game in all but still to much money for simple stuff.Uuugggg.Update BOO.??Let's be positive now have you ever noticed when barbarians hold out their swords it look like a bowl of oatmeal with a spoon in it.??Funny right check it out!",N
"Awesome Love it",N
"Goid The goals aren't spaced out well and the prices are a but high.",N
"good very good",N
"Addicting This game is so addicting you just want to keep expanding your kingdom and upgrade everything.the only flaw is later on its take days to upgrade things and the only way to speed up the process is by gems which cost $1 per 100 gems which is annoying but you wont regret this download",N
"Awesome game Awesome game but why do I have to wait for everything to be built",N
"Clash Best game ever can't stop playing it.",N
"KEEPS CRASHING NON STOP Dont u guys have enough money to fix this problem? Get with the program and fix it now!",Y
"Clash Love it",N
"My profile is bugged It says I'm not a clan but when I search up the clan i made 'UnCharted Ghost' it says I'm the leader but when I hit the clan tab the game acts like I'm not in a clan at all please fix this",Y
"Great game but latest update crashed. Highly addictive game. Last update made my game crash and not able to open it.",Y
"Best game Cool game cool update",N
"Goody I thought it was fine",N
"Decent Not bad but it will take your money if your not careful $350 in a week cause of up grade times are BS. Be smart out there",N
"Clash of clans This is by far the best game I have ever played!! It's so addictive and fun!",N
"A great game thats a bit addictive, the only negitive Thing is the upgrade time",N
"Wow So sad to see these reviews, quite honestly I think this game is phenomenal, don't what all the hassle is about this time thing. :/",N
"Awesome I love this game and I can play with all my friends, it's just a little hard to upgrade considering it is hard as crap to get gems",N
"Update the app It's too expensive to upgrade and takes 2 long! And it always crashes",Y
"Clash of clans Best game ever",N
"This is the best game ever! This is awesome",N
"Unbelievably good. Love this game :-) Download it ASAP:-) brilliant",N
"Best Very good",N
"BEST GAME EVER What a game!!!!!!!!!!!!!!!!!!!!!!!",N
"Outrageously expensive game! Believe the negative reviews: if you don't have lots of time and lots of lots of money to spend on in-app upgrades, there's no point to playing this game. The game virtually requires you to spend money to build faster and keep up your defenses and there's no way to turn that option off. Players with far more resources can repeatedly attack you with impunity, which slows your progress and keeps you from getting anywhere.\n\nHighly recommend both versions of Kingdom Rush as an alternative, and I've heard Galaxy Life is also good. This game simply isn't worth the time and money it requires you to spend, and why anyone would spend hundreds of dollars on an iPhone game is beyond me. Deleted.",N
"amazing :D ive been playing for a long time and i love it :)",N
"Good game It's a good game once you get into it :)",N
"Great game Very fun game. One of my favorite mobile games ever!!!",N
"Good game! It makes me forget my worries. It's a lot of fun.",N
"Nice Nice game",N
"?????????????????????????????????????????? This game is amazing and completely fun if you have extra time I would highly recommend this good luck",N
"Good, but crashes The game is awesome, however it crashes on me after like 5 min of gameplay please fix as soon as possible. Also everything takes forever to upgrade I mean 4 days for a level 6 town hall really.",Y
"Awesome Best game ever",N
"Crashing problem Game keeps crashing at the loading screen",Y
"Fixed finally Thank for the update on troops and bugs",N
"Great but crashes. Addictive. But is crashing non-stop on my iPod touch 4th gen and is so annoying I can't stand it. Can't even play .",Y
"Great game but has been crashing a lot This is a great game but the upgrade time on each item gets a little long and the game has been crashing a lot lately.",Y
"Game crashes every day, won't even load it used to be fun now it's just a challenge opening the app Okay",Y
"Love it Very fun & addictive game",N
"Crashes I could give this game a 5 star but it crashes I love this game but can't open it fix plzz",Y
"Clash of Clans Great game, easy and fun to play. Down side is the cost to upgrade",N
"Awesome !!!",N
"Half and half I have loved this game ever since I got my iPod but the only problem is that sometimes when I attack the game logs itself off and I loose the fight and waste more than half my troops and a lot of my trophies.",Y
"Great game Love the game!",N
"Cool game Just started playing. They give you a way to speed the game up in the beginning. It worked I'm hooked! One complaint is it crashes a lot! Still love it.",Y
"Too expensive I really like this game but its getting old on how everything is getting xpensive to level up, of course im not paying money just to upgrade a game!!",N
"Fun! It's pretty fun but challenging to get started which always keeps the game moving. Plus the graphics are cool and way better than most games like this one.",N
"Fix your game I love this game and its fun and amazing but things cost so much gold elxir and its very difficult to contain that elxir and gold also since the last update I play for about 30 seconds then it crashes so I can never upgrade my things",Y
"Walls Walls are too expensive !! Reduce the price !",N
"The best The best game in ios",N
"Legend We won't a new game army of clan",N
"Crashing It was an amazing game that was super easy to get addicted to but recently it won't stop crashing. I can't even load up the game anymore without it crashing >:( they need to make a crash update fast because people keep raiding me and I can't do anything about it!!!",Y
"Okay I keep I on getting matched with people who have very little loot and crappy villages the match making is not everything is super expensive in money and elixir",N
"Yummy Best game ever get it",N
"Crash! When at the loading screen the game just crashes every time!",Y
"Clash of Clans Review Good quality game for strategic players.",N
"Great game just started and it is addicting",N
"Hooked Love this game! I'm hooked",N
"Clash of Clans Great game but crashes frequently.",Y
"It's alright I recently started its fun but you need money to play.",N
"Not happy Every since I did the last update the game won't open, was a good game other then the fact the only way to go anywhere they make you pay and it ain't cheap",Y
"I can't get in I've tried everything but I can't get in",Y
"Pretty fun Pretty fun. They have made some adjustments that are better than when I first began.",N
"Try it! Just started playing and I enjoy every moment of it but I refuse to invest my money into it.... I'll just see how good I can get",N
"ADDICTING!!!!! Game is way to ADDICTING! Great game",N
"Faster Faster build time or a way to increase it",N
"Pretty nice Good strategic game.",N
"Awesome game Really fun game that gets addicting",N
"Fun game Best game in the app store",N
"Force closes a lot since update Please fix",Y
"The best This is probably the best of this game type that I've ever played. :)",N
"Awesome Game!!! Very addictive and fun!",N
"Great game Addicting and fun. Get it now.",N
"Crashes!!!:( This game is very addictive and fun but every time I try to play it goes 2/3 of the way, pauses and crashes:/ please fix!!!!",Y
"Clashing One of the best games out there. Highly recommend it.",N
"VERY GOOD It has chat room you can join clans and you can raid other people who doesn't like that.I highly recommend this game for people are into fighting and building.    This is one of my favorite games.",N
"Great Best game to have when you have some extra time on your hands to play a phone game",N
"Update/Game The game will not open/load, and when it does, it continuously crashes. This is a great games when it works, but right now it is just a waste if space.",Y
"Awesome!!!! Such an awesome app!!!!!!",N
"Best Game Ever Made. Clash of Clans2 If you don't want the game to keep crashing turn of your device completely all the way off were the little apple show in the middle of the screen the turn it back on and it won't crash again",Y
"BEST GAME EVER The best game ever!",N
"Can't play Have to delete if no updates , crashes before it even loads won't open so can't play",Y
"Was great but... It never loads anymore, its not a game if you cant play it. I would vote 5 but it has like 1\% chance of loading and if it does it crashes after like 1 min. Its more like crash of clans!",Y
"Awesome Great game lots of fun things to do",N
"This game is awesome I love the game and I would recommend it to anyone",N
"Clash of clans!!!!!!!!!! This game is great but the gems are expensive.",N
"epic Most bestest game ever",N
"Mad mad mad Crashed my game, will not load, stuck on waiting to load screen.\n:(",Y
"Update Crash Please fix this annoying crash.",Y
"It is awsome It really cool with the giants andgolems you can even make clans.\nIt is really really really awsome",N
"Ahhhh crash!!!!! This game is my favorite game but it crashes every time I start the game please fix I enjoy playin clash of clans!",Y
"Clash of clans What a game!! I love it, it's very addictive and it's so fun!!!",N
"Clash of Clans At first I did not play much but now I am addicted to this game.  I am building up my army and my village.  Patience is a virtue and my patience is being tested as I wait for the builders to complete my structures.  Town Hall upgrade is underway and next I will have to rebuild the Clan Castle",N
"Awesome Game! Great game, lots of fun, gets me through the work day. However, crashes CAN be a prob at times. Overall reminds me of first AoE.",Y
"update crashes every time i opened it after the update",Y
"Addicting Can't stop playing",N
"Fun strategy game that teaches patience is a virtue Came over from playing BattleNations and found this game to be refreshingly good. Quick load time with no delays. Love the challenge of laying out my base as well as figuring out how to infiltrate other bases during raids. The build and upgrade times for things get a bit long in my opinion as you progress, but still fun. Love the clan concept and being able to talk to friends in-game - makes the game so much more enjoyable and social.",N
"Crash of Clans This game be crashing every time I try to play it. It happens like a little after the loading bar reaches half.",Y
"Fix NOW Ever Since The Update It Has Crashed At The Loading Screen EVERY SINGLE TIME I CANT EVEN PLAY IT ANYMORE if you are a first timer reading reviews before getting the game i would not recommend getting it until it is fixed at the stage it is in the game is a piece of ????????????????",Y
"WHAT? WOW this is SO addicting",N
"Pretty good game! Great game if you can manage to be patient and actually wait for things instead of buying them with real money",N
"Clash of clans Amazing!",N
"Crashes. For the first time Lots of crashes on the 1st iPad after this update. Crashes during loading, crashes when switching between bases in attack mode, hangups during the attack. No new heavy graphic features were introduced, so I see no reason for these crashes. Please, don't forget, that many people still use the 1st iPad. Clash of clans is not a 3D shooter or some racing game with powerful graphics.",Y
"Clash of clans update Ever since ive updated my game it would always close on the loading screen. >:(",Y
"Crash Love the game but the new inferno fortress update causes the game to crash repeatedly.",Y
"Awesome! Great game!",N
"Unique Interesting and unique concept for an iOS game.",N
"Good game How can I upgrade town hall to lvl 6 when my gold storage needs to be upgraded to hold enough to upgrade town hall but needs the town hall upgraded 1st in order to do so? Seems like you HAVE to spend money to advance!",N
"Best! I like this game :))",N
"Buying ingame purchasing does not work Buying ingame purchasing does not work!!!!",Y
"Awesome I can't stop playing!! This game is too good!!",N
"Addicting Only been playing for a few days and I'm already hooked!",N
"Awesome ????????",N
"Excellent game I like it a lot.",N
"Awsome This game Is best game in the world",N
"Love it Pretty awesome game. But even after running out of 'gems' it's still fun to use even if you can't build certain things without the right amount of money and gems and elixir. It's all about strategy and saving for the right stuff to upgrade.",N
"Cool game Fun build destroy easy just starting and love it!!!",N
"EPIC The best game I have ever played I am addicted to this game!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! :D !!!!!!!!!!!!!!!!!",N
"An excellent and layered game experience I've been enjoying Clash of Clans immensely. It's not a new game premise (I played 'Backyard Monsters' on Facebook a year or so ago that was nearly identical), but the execution is balanced and enjoyable. Definitely NOT a game for those who want to play in isolation... The community is a vital part of the game and hard wired into everything.  If you're okay with that, you'll enjoy exploring diverse strategies and layouts and units to achieve dominion and carve out your own little slice of fame.",N
"Great game! Awesome gameplay and amazing graphics!",N
"Awsome I love the dark barbricks it is awsome!",N
"Awesome game Soooo cooolllll",N
"connection don't get this game if you don't have PERFECT connection, you will go nowhere, (that is until they fix the fact that you lose trophies when connection fails in the middle of an attack)",Y
"Great fun A blast to play and burn some time while waiting for anything.",N
"Sweet like cream cheese on beagles So much fun",N
"Awesome I love this game it's so addicting!",N
"Good stuff! Indeed!",N
"So far so good It is nice game",N
"I like it There are not a lot of apps/games on my phone that I like or get addicted to but this one is really fun and makes me want to keep coming back",N
"Great game ever 1 game ever",N
"Can't connect to Facebook I can't connect to facebook",Y
"Best game ever This is the best tycoon type of app I have ever played .There is always something to do and it is very very addictive.",N
"Awesome Great game!",N
"The best Its really addicting",N
"Crashes way too much I've never had a game crash on my iPhone like I have this one. What's the point if playing if it crashes every ten seconds? Fun game beside the crashing, please fix because right now the game is terrible",Y
"Great The best battle game I ever played in Iphone!",N
"Addicting Fun",N
"God gems ???? ??? ??",N
"Amazing That is the only word that describes this game",N
"Good Join my clan M.I.S.T",N
"Awesome Game! This game might be the best game out there for the iPhone and iPad. Correction, is! Been playing it for months now and it's never been dull.",N
"Idk Everybody is saying this app is great so I decided to get it and it won't load HUGE DISSAPOINTMENT",Y
"Good Really good game.",N
"addicting I am not even a video game person but I am stuck on this little gem",N
"Clash of clans I got on the game to help my son a week ago and I won't give it back the game is fun. I even stopped playing my game to play this.",N
"Bout Time!! Crazy Addicting! Super Fun...if you're into that sort of thing...",N
"Never loads!!! This game hasn't loaded even once in the past week.",Y
"Clash of clans I love this game",N
"Amazing Great game. It is super addictive.",N
"Great game! I haven't had any problems, and the game is engaging and fun. Requires patience, unless you want to waste your gems! If you have friends that can play this with you, it's much more worth it.",N
"Great game great game!",N
"Great. Game is awesome. I just wish there was more walls.",N
"Reduced \% of resources gain thru attack? While it is nice to reduced \% of resources gain thru attack for new player benefit, but it hurts old player who need alot of resources to upgrade,  we cant wait for resource from our own mines and collector, we get them from stealing from other. So bad upgrade on that part. The other upgrades are good",N
"Crash Game is fun the piece of crap keeps crashing on me",Y
"Update is killing me Ever since the update I get kicked out of the app every 5 minutes",Y
"Dig it! Addicting It's pretty awesome",N
"Game Great game but makers charge too much to where you have to spend real money to get things.  Need to bring prices down",N
"el miro nice app",N
"Clash Excellent",N
"Game Very good",N
"Great Really awesome game",N
"Best game EVER! Hey supercell great job but plz update fast also can you make a trade system that will make the game awesome",N
"Amazing Very addicting. Great to play as a free app. In app purchases not required but help speed progress.",N
"Get it! Epic fun",N
"Fun Very cool game!",N
"Teraoak Fun!  Time goes by too quickly!",N
"Good It's pretty good but sometimes doesn't work",Y
