@relation compendium

@attribute Description String
@attribute Category {Bug,Feature,Support}
@attribute Ann1 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann2 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann3 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann4 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann5 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute MostCommon {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}

@data
"Hide branches except selected node 2002 old med list","Feature","Usability","Usability","Usability","Requirements","Requirements","Usability"
"HTML editing Details text recognise web links 2003 Formatting detail Basic options format font paragraph. Html view formatting. Investigate XML export considerations. Possibility putting HTML block parser ignores it. HTML export need behave correctly. Images HTML type options. April 2003 old medium list","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Image resizing least partially resolved 1.5.1 ability resize images Ppt click icon get handles etc. Possibly JGraph could help Ideal grab image resize view pre set percentage sizes inlarge shrink to. Investigate speed issues Maybe less important image rollover. 2003 old medium list","Feature","Usability","Requirements","Usability","Usability","Usability","Usability"
"New undo options Undo Drag box ALT key release move nodes index top selected area DOWN height selected area. Drag box SHIFT ALT keys release move nodes index top selected area height selected area. Sept 2003 old medium list","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Sound movie rollover Can optional property Reference nodes Rollover behavior would similar HTML Javascript node behavior mouse rollover. case switched via checkbox Node Properties dialog rollover would perform action like show full size graphic play sound even play movie clip. could even run script Ref node links Javascript file. short run interested graphic possibly sound rollover scenario would rather double click Ref node launch separate application see full size graphic would display image within Compendium rollover. would terrific educational uses Compendium i.e. using Compendium present lecture line reference tool. would also pass behavior exports example HTML page exported Compendium would rollover behavior image exported Reference node. Thoughts Just thinking would seem make sense icon rollover point since image file. etc. one would interested seeing fullsize. Remember rollover would intentionally 'turned would n't n't default behavior. silly example mind look feel like turtle image right side page bit http www.wilsoninfo.com rollgen1.html M.S.Bachler 2003 11:54:20 Subject Double click triple click label layer top nodes links screen like hint boxes views details Sure makes sense. n't really know possibilities might though might some. M.S.Bachler 2003 11:38:18 S.Buckingham.Shum Subject Double click triple click label Have understood correctly For reference nodes image field filled want able rollover thing node mouse large hint box appear showing image actual size rather reduced size. Does image away roll like hints What big screen control hint box i.e. resizing positioning. mean rollover opening internal frame Compendium displays image full size rather launch external image viewer Michelle Yes image would appear potentially sound would play rolling something node mouse. Yes absolutely would away roll like web page rollover. say make add images correct sizes might actually instances want larger current screen size. possible would want image appear sort separate window box image screen like current ref node images full size. behavior mind like web page rollover something appears part existing view rollover separate window etc. effort issue much flow presentation narrative mode. Double clicking launch separate application close disruptive would web page see rollover image. There times double clicking launching desirable present state times smooth flow desirable double clicking launching would disrupt flow. idea double clicking launching default present rollover behavior option. like idea particular icon area node roll invoke rollover behavior avoid problem unintentional rollover point out. little perhaps. But idea smooth flow opposed click launch. One question whether possible within Java within web pages. Hmmm sure roll best interface device would trigger events want move node edit label. double clicking overhead normal way launch events. suppose one option little icon appear node analogous analogously clicked launches event surely double click much effort simon 2003 old medium list","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Tranclusions map May 2003 old medium list","Feature","Requirements","Usability","Usability","Requirements","Requirements","Requirements"
"Wheel used view drag More info needed May 2003 old medium list","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Nice export ideas Chuck Nice export ideas Chuck. could also designate special type view navbar view tag view 'navbar would become map exports navbar. palusc 2003 09:37:24 Subject Export needs nav bar optional customizable toolbar views. exports would option 'export nav bar pages. could drag selected maps copying nav bar map. could even order bar ones left. end nav bar would appear indiviudal icons last three maps visited always able hit 'go back degree thus see 'present place also visual trace last sequence moves made among maps. believe two additions personal customizable optionally visible nav bar graphic display node icons last maps visited shown sequence would locate orient swooning changing relational i.e. dependent universal hyper space time. 2003 old medium list","Feature","Requirements","Requirements","Migration","Requirements","Requirements","Requirements"
"Dragging nodes edges map scroll continuously Right scroll little dragging node edge map. n't stop","Feature","Usability","Usability","Usability","Capability","Usability","Usability"
"Preserve label formatting Outline export might tricky would good carry label formatting font etc. outline export","Feature","Usability","Capability","Usability","Usability","Usability","Usability"
"Option automatic outline numbering 'tree view Word etc. apply automatic numbering branches leaves tree view","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Provide way create new node linked current node right nex Maybe already n't find Help. want action shortcut similar creating new node specific type linked back node right Alt Node Types keyboard shortcut except linked","Feature","Usability","Usability","Usability","Requirements","Usability","Usability"
"Cntrl drag white space scroll canvas pen users drag canvas. cntrl left drag easier pen users pressing cntrl would ideally immediately change cursor hand icon roll node signal mode change keyboard activated shortcut clicking hand icon button eventually appear toolbar old low list","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Control +arrows page direction arrow Entered Nov 2005 Modified Nov 2005 One feature request QuestMap shift control arrow pan around screens. Would love Compendium. Nov 2005 Reclassified low since n't compelling reason others scroll bar it. old low list","Feature","Requirements","Usability","Requirements","Requirements","Requirements","Requirements"
"Drag Drop node link detail URL label option Entered Nov 2002 old low list","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"Drag nodes Trashbin old low list","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"Draw arrows n't shift add new label text old low list","Feature","Usability","Requirements","Usability","Usability","Requirements","Usability"
"Include links shortcuts node Linking Info node Entered May 2003 one reasons shortcuts able link concept multiple times different places view still know relationships. old low list","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Export multiple JPGs one Entered Nov 2005 Needs similar way select views export export options. old low list","Feature","Requirements","Requirements","Migration","Requirements","Requirements","Requirements"
"File reference nodes Entered Nov 2005 Along lines noticed Compendium seems submit ref entry operating system Windows case operating system seems trouble well formed URLs like file temp x.txt something along lines. Perhaps Java problem Scott old low list","Feature","Requirements","Capability","Requirements","Reliability","Usability","Requirements"
"Html export outline links option Entered Dec 2003 brief conversation Jeff fount wisdom. reminded way handled QuestMap think would work fine address Simon wants objections it. QuestMap outline export link types preceding node label parentheses Specializes 1.23.4. Why n't add option could choose text name link types COULD colored background parentheses node label either numeric reference bit label link would *option* outline export inescapable feature. n't much anything link types able show them. Simon Buckingham Shum Subject v1.3 missing link types web outline exports 2003 07:50 know blindly prejudiced links ??? ???  certain analytic tasks much less verbose informative glance duplicating every argument Pro Con Idea table express constraint positive criterion minimise maximise robustness reusability option green link know immediately 'good'. n't scream n't appear v1.3 count 'conceptual bug meaning lost even warped export particular view. present every Idea outline export nice list Argument nodes making look like support it. Simple colour coding would fix alerting reader. But content manually since relatively people link types. Simon 14:10 2003 0500 wrote Hmm sure best design concept. wondered could communicate links explicitly outline export. But seems like mixing metaphors somehow node color link color.???  kind hate hold 1.3 pending fuller design discussion. personally also think best mapping style almost never Argument nodes fundamentally unclear. better repeat Pro Con nodes make clearer concept used way. Simon Buckingham Shum 2003 12:53:07 M.S.Bachler Subject v1.3 missing link types web outline exports currently n't render way link types used 're used much. But example important show otherwise whole meaning lost. example might done change colour node label show red green amber relatively simple change consider v1.3 basically bug communicate information Simon 1da6af7.jpgSee attached file 1da6af7.jpg old low list","Feature","Requirements","Requirements","Migration","Requirements","Requirements","Requirements"
"Hot keys buttons moving selected text Label Detail vice versa Jeff Entered Nov 2005 Especially extra long labels tend get drag drop fabulous feature need GUI assist breaking long labels Label Detail. Ideally could automatic like automatic node Detail popup perhaps even looking first period comma settable character count best place break text. simply Move selection end Detail command button. Nov 2005 Have means move selection text Label Detail like arrow button contents window. old low list","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"Long link line jumps old low list","Feature","Usability","Requirements","Usability","Usability","Usability","Usability"
"Reverse two nodes old low list","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"Set default paper size Ron Print would nice able set default paper somewhere remembered. Entered Nov 2005 keeps setting one bizarre metric paper sizes default. British friends keep trying explain North America odd size. Maybe found yet. old low list","Feature","Capability","Capability","Usability","Capability","Capability","Capability"
"Turn nodes Tags Simon Turn nodes Tags Entered Nov 2005 would great able convert set nodes Tags via right click menu. old low list","Feature","Usability","Requirements","Usability","Requirements","Requirements","Requirements"
"Transclude multiple nodes new map old low list","Feature","Usability","Requirements","Requirements","Requirements","Requirements","Requirements"
"Turning Rollovers nodes Jeff Entered Nov 2005 Some images meant small corporate logos almost never want expand rollover. Nov 2005 May addressed fix scaled images images pixels square old low list","Feature","Usability","Capability","Requirements","Usability","Usability","Usability"
"Update Audio Library old low list","Feature","Requirements","Capability","Requirements","Integrity/Security","Requirements","Requirements"
"Convert nodes text details Want convert nodes text details Entered Nov 2002 Modified May 2006 Cut Copy label details clipboard paste another node. Separate detail text nodes. white line break. Paste detail detail. Convert detail selected detail nodes button old low list","Feature","Usability","Requirements","Usability","Requirements","Usability","Usability"
"Maintaining label edit selection switching applications Entered Mar 2004 Modified Jan 2006 When editing label node Alt Tab another application look something back Compendium would nice cursor still label node ready mode editing. Instead seems soon focus goes another application even without mouse click anywhere node goes label editing state selected state click label want edit more. Add focus listener mainframe note view node restore focus gain. old low list","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"QuestMap impoprt issues When importing QuestMap files Compendium unescape quotations. For example QuestMap node Entered Oct 2003 Modified Oct 2003 name Earvin Magic Johnson exported Earvin \Magic\ Johnson When Compendium imports file creates node name Earvin \Magic\ Johnson 22.When import QuestMap dialog box select file import two problems cau Entered Dec 2002 Modified Feb 2005 n't remember last file name imported one select every time displays way upper left screen mouse way center every time. centered like dialogs. FIXED old low list","Feature","Migration","Capability","Usability","Capability","Capability","Capability"
"Any prompt relates Preferences setting checkbox remember old low list","Feature","Requirements","Usability","Usability","Usability","Usability","Usability"
"Auditing versioning old low list","Feature","Requirements","Documentation","Requirements","Requirements","Requirements","Requirements"
"Auto linking old low list","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Command line url interface old low list","Feature","Requirements","Requirements","Requirements","Usability","Requirements","Requirements"
"Reference node opens Compendium databases Could Reference node opens Compendium databases closing current one required old low list","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Ctrl repeat last action Entered May 2003 For tags old low list","Feature","Requirements","Usability","Requirements","Usability","Usability","Usability"
"LaTeX Support think would nice addition Compendium support LaTeX formatting equations. could useful node Title Content. Typing equation even simple one useful tag certain scientific purposes","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Submit Compendium one freeware web sites Originally submitted yahoo group One suggestion would like make developers consideration submitting Compendium one freeware web sites happenstance stumbled upon Compendium recent issue World magazine article useful programs one Freemind http freemind.sourceforge.net wiki index.php Main_Page. website references alternative products Compendium one enthusiastic quickly become Power Tool Knowledge Mapping think Compendium community could grow leaps bounds simply giving program exposure dedicated freeware websites","Feature","Installability","Documentation","Documentation","Installability","Installability","Installability"
"Tags View Insert View Confusion When list nodes displayed Working Tags Area Tags View selecting one tags tag tree way highlight associated nodes within map accept highlight nodes list select Insert View. intuitive based button label dangerous due fact insert selected nodes map already their. recommend removing Show map feature Insert View button create new button open maps containing highlighted node list highlight associated nodes maps. would address scenario accesses Tag tree see nodes match set tags wants quickly access one map view work better understand context used. allow get even perspective nodes switching Outline View also showing highlighted nodes","Feature","Requirements","Usability","Requirements","Usability","Usability","Usability"
"MAP NODE NOT RESPONDING installed CKM weeks worked diploma degree dessertation. Today cant get map program respond things want open map node nothing happens right click dont work outline view plus character Map node. SOS","Support","Reliability","Performance","Installability","Reliability","Reliability","Reliability"
"Undo changing image size would good able undo changes image size","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Hourglass long map open images take long time map heavy images open. would good hourglass indicator possible","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Hourglass image size change take quite image size change closing Specify window. Should hourglass","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"tags tag groups n't exported When import map tag used new map automatically created tags used tag groupings. For NASA Lunar Dust project started identical grouping diverged bit mapped separate groups reconstruct tag groupings manually","Feature","Reliability","Capability","Migration","Capability","Capability","Capability"
"number features thought would cool plus two bugs Please see attached compendium map saved web page. Note nodes include NOTES","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"ability temporarily 'lock views open tendency close whatever windows view open quickly get another view write something 've suddenly thought Then regret nodes sub nodes windows open rather slowly enough even faster computer would really cool option 'lock certain windows could close example RIGHT click instead usual automatic left one. could implement perhaps little menu button comes SHIFT click window close button. say menu merely needs button. toggle principle There actually guy handy little computer program allows windows application. For useful Explorer spend day opening closing often unecessarily. When gave idea right click close chuffed using complicated menu based system closing part. Lol anyway apart bragging proof concept hehe","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"settable MySQL database prefixes Per discussion yahoo group order able Compendium MySQL database part shared webhosting account need way set prefix database names used Compendium. Most shared hosting situations know add prefixsuch accountname_to databases allow multiple separate accounts using MySQL installation single server. Having Compendium know prefix would allow collaborative tool situations","Feature","Requirements","Requirements","Usability","Usability","Usability","Usability"
"Issues using find pull together nodes multiple tags Hey Michelle tried pull nodes marked multiple tags main map sub map using Find feature got error. know quick fix plan works bring back old tags support using right click feature nodes several nodes find old version useful faster paced dialogue mapping sessions","Support","Reliability","Migration","Requirements","Reliability","Reliability","Reliability"
"Left right scrolling When map difficult scroll left right. center wheel mouse rocks left right windows programs scroll window using horizontal scroll bar. Would nice worked Compendium. gil","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Closing node save contents When close node contents window clicking upper left equivalent Cancel. Any edits saved. better matches expectations conservative approach","Feature","Usability","Requirements","Usability","Usability","Usability","Usability"
"Backspace delete nodes node highlighted yellow Delete key way delete node Backspace. frequently looses nodes typed gets moving fast makes mistake tries delete text ends deleting node somehow","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Tablet PCs graphics drivers bug There problem Tablet PCs graphics drivers. workaround switch Java graphics. done editing compendium.bat file. final line batch file resemble start \Program Files\Java\j2re1.4.1_02\bin\javaw Dsun.java2d.noddraw=true Xmx128m classpath compendiumcore.jar compendium.jar skinlf.jar xml.jar kunststoff.jar jabberbeans.jar jsearch.jar jhall.jar mysql connector java 3.1.0 alpha bin.jar com.compendium.ProjectCompendium","Bug","Installability","Capability","Requirements","Reliability","Reliability","Reliability"
"Exporting XML file line directory cause file known Windows problem","Bug","Reliability","Usability","Migration","Reliability","Reliability","Reliability"
"There problems permissions Compendium accessing creating subf","Bug","Reliability","Capability","Integrity/Security","Reliability","Reliability","Reliability"
"Request label detail auto jump done word breaks character breaks Since version 1.5.1 label wrap working anymore. change label wrap witdh want Project preferences label wrapping moving detail node always constant annoying. Also wrap word character. Right jumps detail opportune times even increase width. fixed. Also wrapping detail wrap entire previous word label next charecter","Feature","Migration","Requirements","Requirements","Capability","Requirements","Requirements"
"Suggest naming Install Compendium 1.5.2.pkg Why make read ReadMe file discover double click .pkg file","Feature","Installability","Documentation","Documentation","Installability","Documentation","Documentation"
"Start problem movie invisible welcome maps apparent quick start movie sounds fine shows nothing. mentioned welcome maps visible anywhere","Support","Installability","Capability","Installability","Capability","Reliability","Installability"
"Allow Inbox feature option. Enable disable inbox feature released version 1.5 nice addition. Unfortunately way current group implement compendium believe confusing users wish completely disable avoid train users it. Hence would like request ability completely disable feature remove std view","Feature","Usability","Requirements","Usability","Requirements","Usability","Usability"
"Warn n't send node users inboxes home Currently restrict Send Inbox home window makes sense showing name list users send to. Instead warn n't send home window suggest node placed somewhere else send from. There also mention Help","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Email notifications shared Compendium projects Two features come mind setting email notification nodes added modified shared db. Most collaboration technologies count something similar. would need optional configurable people n't get inundated email every time someone changes node would great know look changes day hourly email notification invited project suggested one Mark nodes Rutgers shared","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Unread View refresh dynamically Refresh Unread View tied Refresh Data Connection toolbar. i.e. click Refresh Data Connection toolbar also Refresh Unread View. case Unread View refresh dynamically. multiuser Compendium new unread nodes could occur anytime","Feature","Usability","Capability","Usability","Capability","Usability","Usability"
"Add set default project mgmt window would good option window. inconvenient open project current default unset project set default","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Can trackpad powerbook control click simulate right click compendium. impossible create links nodes need mouse works perfectly. always problem annoying especially want USB Ports something else","Support","Migration","Capability","Usability","Capability","Capability","Capability"
"Pan Map changes Modify map panning implementation move map direction cursor moved continuously refresh position map pan active. change suggested discussed Hand Tool posting CompendiumInstitute forum. View postings clarification http tech.groups.yahoo.com group compendiuminstitute message 1228","Feature","Usability","Requirements","Usability","Requirements","Usability","Usability"
"Copy paste nodes escape newline characters Copying pasting nodes specific case Map node modify text detail view newline characters appeared instead showing text separate lines original","Bug","Reliability","Capability","Usability","Capability","Usability","Capability"
"Compendium free software For personnal copy program computer. question talk program free software asking main freeware newsgroup thinks freeware sense program redistributed sources","Support","Documentation","Documentation","Documentation","Documentation","Documentation","Documentation"
"OpenLearn export fails map circular links Originally Reported Patrick McAndrew. actually Outline export part OpenLearn export failing. specific recursive printNode function UIExportDialog. Simply putting standard recursive check repeat nodes help flattens outline export completely","Support","Migration","Capability","Migration","Reliability","Reliability","Migration"
"Power Export generate index.html links exports Then get ready contents page versions. design look decent. Sneak 1.5.3 Simon","Feature","Migration","Requirements","Migration","Requirements","Usability","Migration"
"Full screen mode For presentations large group mapping would great map displaying toolbars window frame etc. 've noticed sometimes Compendium look feel techie uninitiated working tool itself. Similar Word PPT full screen modes","Feature","Usability","Requirements","Usability","Requirements","Usability","Usability"
"Number nodes view object reflecting actual number nodes noticed added number nodes map number nodes indicated map icon increase accordingly. mixture new transcluded nodes. From general discussion per request List Node Refreshing Missing nodes views List Node Refreshing. Thanks Barry","Bug","Usability","Capability","Usability","Capability","Usability","Usability"
"Support SQL Server Oracle centralised database recently run pilot compendium within one engineering teams desire expand large number users potentially spread across number sites. Architecturally unable either MySQL Apache Derby databases database installed locally machine. Our development teams looked possibility modifying code support SQL Server Oracle DBMS utilise central database however estimates effort involve indicate significant cost this. wondering companies may undertaken work already submitted back distribution whether something compendium team working future release. thanks Trevor Davies Technical Architect British Energy","Support","Migration","Requirements","Migration","Requirements","Installability","Migration"
"Accelerated creation defined stencil Imagine special 'dock ANY node structure dragged+dropped onto became icon could reuse","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Once saved Compendium maps spotlight searchable","Support","Documentation","Requirements","Requirements","Requirements","Usability","Requirements"
"How uninstall Compendium How uninstall Compendium There supplied instructions remove Compendium","Support","Installability","Documentation","Documentation","Documentation","Documentation","Documentation"
"maps opening node linking arrows Running 1.5.1 windows sp2. performance Open learn seems tail quite rapidly maps generate creative writing grow. initially starts new nodes appearing near top page rather right clicked create drag link draws black arrow appear link nodes stays place move nodes around. initially thought number items page cut pasted groups seperate maps nested within others. Now though top map refuses open get work. addition seen previous accounts draw links create new nodes n't appear page correctly close open application. Currently using default database engine rather SQL. feels like database corruption issue maybe kind overflow issue n't tell. Exporting also fails XML html database objects gets percentage value type export hangs. Any thoughts Stuart.","Support","Reliability","Capability","Performance","Reliability","Usability","Reliability"
"Standalone Version wondering ever going create standalone version Compendium. would handy needing give presentation wanted Compendium purpose. even possible Thank time. Othalian","Feature","Requirements","Requirements","Requirements","Installability","Requirements","Requirements"
"Views tags recency cloud Find way add flexible sorting alphabetically","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Typing tags autocomplete give error Drop autocomplete menu filter list automatically typing tag. Often want reuse tags without scroll. But even n't current version type tag already exists offer button Reuse Tag n't tell exists like error message","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Add Right click Select dependent nodes Add ability select node right click select dependent nodes. allow easily select branch map move keeping spatial arrangement. Avoids draw box time select branch move","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Add new node existing nodes develop map often add intermediate nodes subdivide idea. When existing links delete establish new intermediate node. like select original node right click Add new Node. would add new node links i.e. links original node would automatically moved new node new node would linked original. either change node type later let choose type node insert. less elegant work around would let drag link arrow drop new node instead deleting establishing","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Runtime error clicking icons dragging icons map view sure probleme Compendium JRE maybe help. moment Compendium 1.5.2 usable time try open icon menu map window like Quick Intro get Runtime Error. Windows German language JRE 1.6.0_02. installed Compendium admin default location \programm\compendium\ user. After installing Compendium created new project called test. When open project get view outline view list window map window. Using outline view open maps. Using map window try open map drag anything else get following error === Microsoft Visual C++ Runtime Library Assertion failed Program javaw.exe File src share native sun font t2k t2kstrm.c Line 132 Expression pos maxPos === Seems like probleme Java java apps work fine n't sure related tablet error standard onboard graphics card anyways workaround error n't work","Support","Reliability","Capability","Usability","Reliability","Reliability","Reliability"
"Using Enter map background easy node creation 've often asked quick way create nodes n't require know keyboard shortcuts choose node types etc. What pressing Enter cursor map background would create node default type Idea guess could option current cursor location. 're using Enter anything else context","Feature","Usability","Requirements","Usability","Usability","Usability","Usability"
"Picasa style star button easy node tagging One thing always bit bother looking around nodes want bring view want simply mark find gather bring map. tagging course makes take extra step defining tag first. What Picasa style star button quickly assigns star whatever nodes select always default catalog starred nodes like ones tagged nodes","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Dim Make Tags Make Groups unless text entered Make Tags Make Groups buttons Tagging pane dimmed unless text entered even one character text field them. throwing people obvious buttons n't obvious enter text first would least give visual reinforcement concept","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"directly open items working tags area Working tags area allowed operations List view allow open items contained directly. After similar interfaces. mean working tags thought dynamic version List view tags filter. would give ability control user. Thanks consideration. Laser","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"copy openned map Right click blank area openned map pop menu. But present copy option anything. think copy operation allowed copy map item selected. convenient want copy map n't know comes","Feature","Usability","Usability","Usability","Capability","Usability","Usability"
"Ability turn cross links Ability turn cross links i.e. cross links links cross multiple nodes. Thus functionality turned links except node links direct primary parent nodes","Feature","Usability","Requirements","Usability","Usability","Usability","Usability"
"Options link route placement adjustment Options link route placement adjustment desired direct around nodes link path rather","Feature","Usability","Requirements","Usability","Requirements","Usability","Usability"
"Functionality join links links Additional flexibility placement links functionality join links links fish bone design","Feature","Usability","Requirements","Requirements","Requirements","Usability","Requirements"
"Frequency prominence node content within map. relates mapping discourse particular node content within map prominent multiple respondents acknowledge frequency significant qualitative reasons. Prominence could represented selecting item drop menu form percentage likert scale represent node weighting. Another option could inclusion automated number within nodes represent frequency within map members agreed particular option. Another option might link line thickening represent prominence however could counter productive might occupy necessary space","Feature","Usability","Requirements","Requirements","Requirements","Usability","Requirements"
"Ability apply specified size multiple selected nodes images Ability apply specified size multiple selected nodes images icons. would enable setting node image specifications multiple graphics required map project time graphic added graphics displayed nodes would size. Currently specify image size node icon image per node basis","Feature","Usability","Requirements","Usability","Usability","Usability","Usability"
"Indented text export Word Power Point Indented text export option create hierarchical report structure map content parent child heading subheading indented distinctions. would useful map created content exported popular programs Microsoft Word reports PowerPoint slides edited Outline Content. export features enable choose report structure. For example without numbered headings style numbering 1.1 1.1.1 2.1 2.1.1 1aa depth indent deep headings without map icons graphics export without inclusion full map image","Feature","Migration","Requirements","Migration","Requirements","Requirements","Requirements"
"removable frame window workspace text document access removable frame window workspace text document analysed mapped loaded displayed text sections selected added maps via drop drag","Feature","Requirements","Requirements","Usability","Requirements","Usability","Requirements"
"When exporting Compendium select last folder exported within When exporting Compendium select last folder exported within session rather returning default export folder time. particularly useful project large quantity maps required export multiple single items folders export folder. believe users particularly high quantity projects typically create library folders save work within Documents","Feature","Migration","Usability","Migration","Usability","Usability","Usability"
"amalgamation features Google style search functionality treema concept able recall previously created maps argumentation nodes via Google style search functionality rather exact text spelling matching would beneficial. Particularly large volume communication mapping map knowledge bases. addition treemapping technology algorithms compress large volumes content maps meaningfully categorised sorted displayed condensed form map library accessed via single window would improve manual scanning. Combining two technologies would aid recall previously created maps argumentation nodes match needs situation","Feature","Requirements","Requirements","Requirements","Usability","Requirements","Requirements"
"Analysis Statistical Features Additional analysis statistical features would useful. For example search could show number times word occurs nodes amount pro con nodes defined map area number answers specified question. specified statistics node type node content i.e. word term frequency","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Drop Drag external applications When text dragged Compendium another application currently text added note node default. able specify node type desired. Once node type selected remain selected wants change another node type. would enable quicker processing mapping large quantities text transcribed meeting discourse. addition currently time text dragged another application dialogue box appears i.e. Drop Drag Selection. able select display desired appearance dialogue box","Feature","Usability","Requirements","Migration","Usability","Usability","Usability"
"I18N compound characters ignored fairly new please excuse n't yet know compendium vocabulary. When entering editing note text map view seems compound characters ignored i.e. ???? actually When double clicking node editing text contents tab everything works fine. Also entering characters map view require single key stroke current keyboard layout ???? Portuguese keyboard ???? German keyboard appear OK. Regards Heiko","Bug","Capability","Capability","Usability","Capability","Capability","Capability"
"wikipedia page compendium software made wikipedia page compendium software http en.wikipedia.org index.php title=Compendium_ 28software oldid=168471667 feel software notable enough merit page note unlike http en.wikipedia.org wiki List_of_concept_mapping_software Unfortunately little light on. would appreciate would alert architect developer teams ensure errors corrected","Feature","Documentation","Documentation","Documentation","Documentation","Documentation","Documentation"
"MySQL query speed When working remote MySQL database Compendium slows every operation even moving around things cached. reason response always slow Can create interface cache information efficiently Thanks","Support","Performance","Performance","Performance","Performance","Performance","Performance"
"option specify font size fonts used Compendium dialog boxes","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Need volunteer would like volunteer services technical writer supporting Compendium need extra hand. currently working United Airlines Lean Six Sigma project manager quite process oriented capable wordsmith boot. Please let know help way","Support","Documentation","Documentation","Documentation","Documentation","Documentation","Documentation"
"Problem Greek language txt notes Dear Compendium Institute problem compendium installation. First think right say settings made machine Windows Service pack soft updates Installed. Sql installation installed Mysql version 4.1.22 running mysql essential 4.1.22 win32.msi 2WinMySqlAdmin 1.4 Mysql Odbc mysql connector odbc 3.51.22 win32.msi MySql Gui Tools mysql gui tools 5.0 r12 win32.msi Compendium 1.5.2 compendium 1.5.2.exe made setups Compendium work fines. Now Problem made first Map Node made test elements objects. see image http kveldes.googlepages.com Problem_With_GeeK_Language.jpg retrieve Greek characters happen think problem basic source mysql settings data send Compendium java application MyODBC Mysql especially character code informations sure software engineer play little MySQL Administrator system variables advanced localization default character set=Greek nothing happen also play ???,???\MySQL\MySQL Server 4.1\my.ini file Put flowing variables mysql language=D Program Files MySQL MySQL Server 4.1 share\greek default character set=greek But also nothing happen Also found http osdir.com db.mysql.java 2004 msg00067.html play all. also play UTF8 Char Code nothing happened. What suggested With Data Connection Derby Default problem. For order communication send critical situation yahoo groups compendiuminstitute yahoogroups.com Thanks advance Best regards Konstandinos Veldes Athens Greece._","Bug","Installability","Capability","Installability","Installability","Capability","Installability"
"Help using Compendium group working environment recently begun using Compendium found excellent application. ability interrelate concepts branch processes superb 've come across anything like it. 're using map elements fairly complex software application team members responsible mapping different sections software. 've set project Compendium using MySQL database network server. However appears see different set maps log database. For example team member may create map several sub maps in. Another team member connects database sees view last time logged even refreshing. maps database seen selecting View Find Map List option menu. provides list maps show parent map sub map belongs require map manually added seen. Clearly complex multi layered map knowing sub map belongs difficult use. way team member see exactly view whenever log colleague also created custom stencil new icons used throughout model however appears view database view user. How make stencils viewable users Similarly documents included map. file reference specific local users computer hence viewable team members. way include documents database hope help here. 're impressed Compendium overcome issues superb tool us. Thanks anticipation help. Tim","Support","Usability","Documentation","Requirements","Documentation","Usability","Usability"
