@relation 'ISBSG10952Instances13AttTrain-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R4-6'

@attribute FunctionalSize numeric
@attribute ProjectElapsedTime numeric
@attribute DevelopmentType {Enhancement,New_Development}
@attribute DevelopmentPlatform {MF,PC,Multi,MR}
@attribute LanguageType {3GL,4GL}
@attribute MaxTeamSize numeric
@attribute Year numeric
@attribute NormalisedWorkEffortLevel1 numeric

@data
581,4,New_Development,?,3GL,9,1999,4352
202,18,New_Development,?,3GL,8,1998,13415
14,2,New_Development,PC,3GL,?,2000,480
105,?,Enhancement,Multi,3GL,?,2005,610
2468,?,New_Development,?,?,?,2002,33760
44,?,Enhancement,Multi,3GL,?,2005,73
4,2.33,Enhancement,?,3GL,?,2004,15
137,6,Enhancement,MR,3GL,14,2000,2390
131,7,Enhancement,?,?,5,1998,498
263,5,Enhancement,MR,4GL,?,2001,4393
305,3,New_Development,?,?,5,1999,623
438,1,Enhancement,?,3GL,6,1999,2142
407,7,New_Development,MF,3GL,8,1994,9013
213,7,New_Development,?,3GL,2,1998,1025
72,1,Enhancement,?,3GL,?,1999,451
724,3.5,New_Development,MR,3GL,?,2001,3092
365,9,New_Development,PC,4GL,4,2000,3322
77,2.93,Enhancement,?,?,?,2004,938
139,?,Enhancement,MF,3GL,?,2005,2405
238,6,New_Development,?,3GL,3,1999,1386
353,11,Enhancement,?,3GL,24,1999,9899
85,1,New_Development,PC,4GL,?,2000,1119
19,2,Enhancement,MF,3GL,?,2000,558
703,6,Enhancement,?,3GL,8,1999,4186
786,5,Enhancement,?,3GL,5,1997,3836
119,11,Enhancement,MF,3GL,?,1999,2321
328,10,Enhancement,?,?,3,1998,864
53,3,New_Development,MF,3GL,3,1994,849
194,?,New_Development,MF,3GL,?,1992,2853
226,5,Enhancement,?,4GL,4,2000,2031
36,2.86,Enhancement,?,?,?,2004,297
118,4,Enhancement,?,?,4,1997,716
1169,5,New_Development,?,?,17,1997,4256
93,?,Enhancement,MF,3GL,?,2005,2382
10,0.6,Enhancement,MF,3GL,?,2001,51
325,?,Enhancement,?,3GL,?,2003,4219
87,2,Enhancement,MF,4GL,?,2000,619
101,1,Enhancement,?,3GL,5,1997,889
403,6,Enhancement,?,?,7,1998,901
29,?,Enhancement,MF,3GL,?,2005,512
115,6,Enhancement,PC,4GL,?,2001,1764
22,?,Enhancement,Multi,3GL,?,2005,813
8,0.82,Enhancement,?,?,?,2004,60
177,8,New_Development,?,4GL,3,2000,789
80,?,Enhancement,Multi,3GL,?,2005,967
162,3,Enhancement,MF,4GL,?,1996,774
24,2.17,Enhancement,?,3GL,?,2004,59
228,8,New_Development,?,3GL,?,2003,4067
1993,3,Enhancement,?,?,16,1998,648
266,1,Enhancement,?,?,4,1997,238
1247,3,Enhancement,PC,3GL,22.5,2002,12794
729,13,New_Development,MF,3GL,7,1991,16179
113,5,New_Development,?,3GL,2,1998,835
84,?,Enhancement,Multi,3GL,?,2005,1098
80,?,Enhancement,MF,3GL,?,2005,684
68,8.35,Enhancement,?,?,?,2004,200
23,1.6,Enhancement,MF,3GL,?,2001,480
202,?,Enhancement,Multi,4GL,?,2005,4985
1417,5,New_Development,?,3GL,15,1999,20762
81,?,Enhancement,MF,3GL,?,2002,1214
99,?,Enhancement,MF,3GL,?,2002,2815
104,6,Enhancement,MF,3GL,?,2002,7677
224,6,New_Development,?,3GL,5,1998,2767
1028,?,New_Development,?,?,?,2002,819
146,3,Enhancement,?,?,2,1997,612
400,9,Enhancement,?,?,10,1999,2350
68,1,Enhancement,MF,4GL,?,2000,385
31,?,Enhancement,Multi,4GL,?,2005,1106
50,?,Enhancement,Multi,4GL,?,2005,967
4078,24,New_Development,?,4GL,41,1999,59878
1471,9,New_Development,?,?,22,2000,2704
197,?,Enhancement,?,?,?,2002,1214
291,2,New_Development,?,?,3,1998,710
